DISCIPLINE;ASSO_NOM;DECLARATION EN PREFECTURE;AGREMENT JEUNESSE & SPORTS;AFFILIATION FEDERALE;PERS_INTERNET;EXTENSION;QUARTIERS;COMPLEXE;UNITE FONCTIONNELLE;NUMERO;RUE_LIBELLE;UF_CP;UF_Commune;COMPLEMENT;0-3ans;3-6ans;6-12ans;12-15ans;juniors16-20ans;adultes;séniors;handicapés;corpo;geolocalisation
NATATION;INSTITUT GYMNIQUE DE TOULOUSE;8843.0;31590.0;240313510.0;;;Rangueil - CHR - Facultés;ZONE VERTE DE PECH DAVID;PISCINE PECH DAVID;82;Chemin des côtes de Pech David;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.614954, 1.499982
NATATION;STADE TOULOUSAIN NATATION;;;;www.stadetoulousainnatation.fr;;;;;;;;;;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
NATATION;TAC - Toulouse Athlétic Club;;;240310335.0;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.633748, 1.44783
DANSE DE SALON / DANSE PAR COUPLES;ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN;;;;www.ascm-montaudran.com;;La Terrasse;SALLE POLYVALENTE CORRAZE;SALLE POLYVALENTE CORRAZE;1;Rue Raymond Corraze;;TOULOUSE;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.573856, 1.486604
DANSE DE SALON / DANSE PAR COUPLES;CLUB STUDIO DUO DANSES;5885.0;19533.0;;www.studioduodanses.com;;Croix Daurade;COMPLEXE PRIVÉ;club studio duo danses;52;Rue d' Avranches;;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.633079, 1.466023
DANSE DE SALON / DANSE PAR COUPLES;ETOILE TOULOUSAINE;;;312065.0;www.coursnicholas.com;;Saint Aubin - Dupuy;COMPLEXE PRIVÉ;L'Etoile Toulousaine;38;Rue de l' Etoile;31000.0;Toulouse;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.60142, 1.453768
danses artistiques;VIRE ET VOLTE;3125798.0;88049.0;31555541.0;www.virevolte.fr;;Les Pradettes;GROUPE SCOL FERDINAND LESSEPS;GYMNASE DES PRADETTES;6;Rue Ferdinand de Lesseps;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.578802, 1.383944
MODERN JAZZ;ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN;;;;;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
gymnastique volontaire;ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN;;;;;;Montaudran Lespinet;Nouveau Complexe Municipal;Centre d'animation Montaudran;3;Impasse Gaston Genin;31400.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.573964, 1.48466
gymnastique volontaire;ASEAT;;;31038.0;www.aseat.fr;;Juncasse - Argoulets;Complexe ASEAT;Installations CEAT;;Rue d' Oran;31500.0;TOULOUSE;;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;43.615771, 1.470962
gymnastique volontaire;Association Sportive et Culturelle Midi-Pyrénées;;;;;;Pont des Demoiselles;COMPLEXE PRIVÉ;Caserne Courrèges;202;Avenue Jean Rieux;;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;
gymnastique volontaire;BALMA SAINT EXUPERY 31;;;;www.bse31.com;;Pont des Demoiselles;COMPLEXE PRIVÉ;Balma Saint-Exupéry 31;52;Avenue Antoine de Saint Exupéry;31400.0;Toulouse;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.583177, 1.471575
gymnastique volontaire;PRADETTES - gymnastique volontaire;W313002804;31AS561;31108.0;gv.pradettes.free.fr;;Les Pradettes;GROUPE SCOL FERDINAND LESSEPS;GYMNASE DES PRADETTES;6;Rue Ferdinand de Lesseps;31100.0;TOULOUSE;;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;43.578802, 1.383944
POLO;CAPITOLE POLO;;;;www.francepolo.com;;;;;;;;;;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
escrime;TAC section ESCRIME;331283.0;31AS998;278.0;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
plongée;CLUB SUBAQUATIQUE TOULOUSAIN;3969.0;31S25;831022.0;csat.free.fr;;;Extérieurs de Toulouse;Port de Banyuls sur Mer;;;;A Banyuls sur Mer;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
plongée;CORAIL CLUB;;;8310425.0;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
plongée;FREESCALE AS PLONGEE;;;8310086.0;;;;;;;;;;Freescale SAS;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.604268, 1.441019
plongée;SALSA PLONGEE;3/11114;03109ET0013;8310139.0;;;Ramier;PARC DES SPORTS;PISCINE NAKACHE;7;Allée Gabriel Biénès;31400.0;TOULOUSE;;Non;Non;Non;Non;Non;Oui;Non;Non;Non;
FOOTBALL;A S MACCABI TOULOUSE;;;527213.0;www.maccabitoulouse.com;section football;Pont des Demoiselles;STADE PHILIPPE STRUXIANO;STADE PHILIPPE STRUXIANO;114;Avenue de Lespinet;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.59651, 1.441252
FOOTBALL;ASSOCIATION SPORTIVE DES IZARDS;;;;;;Les Izards;STADE GEORGES RIGAL;STADE GEORGES RIGAL;2;Rue Raphaël;31200.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.642774, 1.440821
FOOTBALL;ASVEC Toulouse Mirail;;;;;;Reynerie;ENSEMBLE SPORT EDUCAT REYNERIE;COSEC REYNERIE;7;Cheminement Jean-François Lesueur;31100.0;TOULOUSE;BP 1373;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;
FOOTBALL;BALMA SPORTING CLUB;;;517037.0;www.balmafoot.com;;;;;;;;;;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;43.609568, 1.497847
FOOTBALL;ETOILE SPORTIVE SAINT SIMON;;;506204.0;www.saintsimonfoot.fr;Club House;Zones d'activités sud;DOMAINE DE CANDIE;TERRAIN DE SPORT SAUDRUNE;21;Chemin de la Saudrune;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.54219, 1.389883
FOOTBALL;JEUNESSE SPORTIVE DES PRADETTES;;;547206.0;www.jstpradettes.com;;;ZONE DE LOISIRS DE LA MOUNEDE;TERRAIN ANNEXE ENGAZONNE LA MOUNEDE;;;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
FOOTBALL;JUVENTUS DE PAPUS;;;548099.0;;Stade des Merlettes;Papus;GROUPE SCOLAIRE JACQUIER;TERRAIN DE SPORT MERLETTES;64;Allée de Guyenne;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.57593, 1.412878
FOOTBALL;TAC section FOOTBALL;;;506018.0;;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;43.583911, 1.342531
FOOTBALL;TFC - Toulouse Football Club;7390.0;31AS88;524391.0;www.tfc.info;;Ramier;PARC DES SPORTS;STADIUM;5;Allée Gabriel Biénès;31400.0;TOULOUSE;B.P.54023;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;
FOOTBALL;TOULOUSE EMPALOT FOOTBALL CLUB;;;545892.0;;;Empalot;ENSEMBLE ANDRE DASTE;STADE CORBARIEU;2;Avenue de Lattre de Tassigny;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;43.579532, 1.43726
FOOTBALL;TOULOUSE RANGUEIL FOOTBALL CLUB;;;537945.0;www.trfc.free.fr;Bât A;Rangueil - CHR - Facultés;ZONE VERTE DE PECH DAVID;TERRAIN DE SPORT SORDELOT;;Chemin des côtes de Pech David;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.589766, 1.415235
FOOTBALL;TOULOUSE SAINT JO;;;544815.0;www.toulousestjofooball.eu;;;ENSEMBLE GRANDE PLAINE;TERRAIN DE FOOTBALL STABILISE GRANDE PLAINE;;;31500.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
football féminin;TFC - Toulouse Football Club;7390.0;31AS88;524391.0;www.tfc.info;;;ZONE DE LA RAMEE;TERRAIN 1 LA RAMEE;;;31170.0;TOURNEFEUILLE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
golf;ASPTT section GOLF;;;914.0;www.toulouse.asptt.com;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;43.604268, 1.441019
gymnastique acrobatique;COQUELICOT TOULOUSE GYM;;;20031012.0;www.ctgym.fr;centre sportif Léo Lagrange;Ramier;PARC DES SPORTS;SALLE DE SPORTS PARC DES SPORTS;7;Allée Gabriel Biénès;31400.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.60593, 1.453138
gymnastique artistique;AVENIR ETIENNE BILLIERES;W313003512;31AS98;20031017.0;shirka2@free.fr;;Fontaine Lestang;SALLE CHRISTINE RUMEAU;SALLE CHRISTINE RUMEAU;;Rue des Turres;;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.557832, 1.259208
TRAMPOLINE;COQUELICOT TOULOUSE GYM;;;20031012.0;www.ctgym.fr;centre sportif Léo Lagrange;Sauzelong - Rangueil;ENSEMBLE RANGUEIL;COSEC RANGUEIL;27;Chemin du Canal;31400.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;43.594967, 1.444373
MUSCULATION - HALTEROPHILIE;JUDO OLYMPIA GYM;;31AS977;;olympiagym.free.fr;;Matabiau;COMPLEXE PRIVÉ;Judo Olympia Gym;9;Rue Caffarelli;31000.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.608465, 1.450373
handball;ASVEC Toulouse Mirail;;;;;;Bellefontaine;ALBAN MINVILLE;GYMNASE ALBAN MINVILLE;63;Allée de Bellefontaine;31100.0;TOULOUSE;B.P. 1373;Non;Non;Oui;Non;Non;Non;Non;Non;Non;43.563717, 1.403633
handball;ASVEC Toulouse Mirail;;;;;;Bellefontaine;ENSEMBLE VALMY BELLEFONTAINE;GYMNASE VALMY;;Cheminement Guillaume et Joseph Bouton;31100.0;TOULOUSE;B.P. 1373;Non;Non;Oui;Non;Non;Non;Non;Non;Non;43.559134, 1.398651
handball;TOULOUSE FEMININ HANDBALL;;;2431066.0;www.tfhb.org;;Juncasse - Argoulets;LES ARGOULETS;GYMNASE DES ARGOULETS;52;Rue Dinetard;31500.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.614806, 1.478052
CYCLISME SUR ROUTE;TOULOUSE VELO CLUB;;;;toulouseveloclub.free.fr;;;Extérieurs de Toulouse;Région Midi-Pyrénées;;;;En région Midi-Pyrénées;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.693241, 1.432396
DANSE ADAPTEE;FAUVAL DANSE;W313007746;31/35;;fauvaldanse.fr;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;Non;43.656176, 1.484231
handbike;ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport;W311001621;31AS479;140311220.0;www.handicapdefi.com;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;Non;43.604268, 1.441019
JUDO ADAPTE;DOJOTONIC;;;5015312680.0;www.dojotonic.com;;Les Chalets;COMPLEXE PRIVÉ;Espace Tonic;28;Boulevard Matabiau;31000.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;43.61494, 1.444684
JUDO ADAPTE;JUDO CLUB LANGUEDOCIEN;;;;www.judojcltoulouse.free.fr;;Minimes;GROUPE SCOLAIRE F ESTEBE;GYMNASE FREDERIC ESTEBE;59;Rue du Général Bourbaki;31200.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;
JUDO ADAPTE;JUDO TOULOUSE CROIX DAURADE;3/06729;31AS698;5015311470.0;jtcd.free.fr;;Croix Daurade;;SALLE D'ARTS MARTIAUX COMPLEXE SPORTIF FERNAND SASTRE;3;Rue Hubert Monloup;31200.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.637216, 1.453581
JUDO ADAPTE;L'UNION DES ARTS;W313000506;31AS646;;www.uniondesarts.com;;Guilheméry;COMPLEXE PRIVÉ;L'Union des Arts;8;Rue Clément;31500.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.605744, 1.465466
JUDO ADAPTE;SPORT ATHLETIQUE AUTERIVAIN - JUDO ADAPTE;W311000258;310200.0;;judoauterive-forumpro.fr;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;Non;43.350074, 1.473788
JUDO ADAPTE;TOULOUSE JUDO;W313013163;31AS1316;5015313340.0;www.toulousejudo.com;;Lardenne;ECOLE MIXTE 1 DE LARDENNE;Gymnase de Lardenne;20;Chemin de Rocamadour;31100.0;Toulouse;2ème étage - bureau 207;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.606579, 1.451622
NATATION;TOAC NATATION;;8849.0;240310052.0;www.toacnatation.org;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;Non;43.604268, 1.441019
JUDO;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;;;;Sept Deniers;Complexe du TOAC;Fronton du TOAC;20;Chemin de Garric;31200.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;43.620162, 1.408135
JUDO ADAPTE;JUDO OLYMPIA GYM;;31AS977;;olympiagym.free.fr;;Matabiau;COMPLEXE PRIVÉ;Judo Olympia Gym;9;Rue Caffarelli;31000.0;Toulouse;;Non;Non;Non;Non;Non;Non;Non;Oui;Non;43.608465, 1.450373
karaté;ARTS MARTIAUX TOULOUSE MIRAIL;;;310059.0;www.amtm-toulouse-karate.fr;chez M. GANOT;Bonnefoy;Nouveau Complexe Municipal;Espace Bonnefoy;4;Rue du Faubourg Bonnefoy;31500.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;43.620741, 1.457516
karaté;KARATE CLUB LEO LAGRANGE;W313014892;03107ET0102;310015.0;;chez M. Georges DELPORTO;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;GYMNASE LEO LAGRANGE;54;Rue des Sept Troubadours;31000.0;TOULOUSE;cedex 5302;Non;Non;Non;Non;Oui;Oui;Oui;Non;Oui;43.679622, 1.522447
karaté;L'UNION DES ARTS;W313000506;31AS646;310108.0;www.uniondesarts.com;;Guilheméry;COMPLEXE PRIVÉ;L'Union des Arts;8;Rue Clément;31500.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.605744, 1.465466
karaté;RDAM - Recherche et Dévéloppement en Art Martial;W 313000 596;;310689.0;www.monkarate.com;;;;;;;;;;Non;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
kung-Fu;ECOLE LONG TAO;31938.0;31AS1312;113.0;www.longtao;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.609568, 1.497847
kung-Fu;SHAOLIN;314014.0;31AS799;;;;Marengo Jolimont;COMPLEXE PRIVÉ;Complexe Shaolin;9;Rue du Général Jean Compans;31500.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;
NIHON TAI-JITSU;BALMA SAINT EXUPERY 31;;;310029.0;www.bse31.com;;Pont des Demoiselles;COMPLEXE PRIVÉ;Balma Saint-Exupéry 31;52;Avenue Antoine de Saint Exupéry;31400.0;Toulouse;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.583177, 1.471575
Karting handisport;ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport;W311001621;31AS479;140311220.0;www.handicapdefi.com;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
KINOMICHI METHODE NORO;ESPACE KINOMICHI;W313013799;;;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
lutte;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;GYMNASE LEO LAGRANGE;54;Rue des Sept Troubadours;31000.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.616682, 1.414639
lutte;TUC OMNISPORTS- Toulouse Université Club;;;;www.artlutteexpression.fr;;Ramier;Stade Universitaire Daniel Faucher;Stade Universitaire Daniel Faucher;;Allée du Professeur Camille Soula;31400.0;Toulouse;;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.580038, 1.435198
ALPINISME;TEC - Toulouse Electrogaz Club;;;;;;;;;;;;;BP 7049;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;
CANYONISME;GROUPE SPELEOLOGIQUE DES PYRENEES;;31AS73;;gspy-club.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;43.480833, 1.430772
ESCALADE;ASPTT GRAND TOULOUSE OMNISPORT;;;;www.toulouse.asptt.com;;;Complexe ASPTT;Stade Charles Boutonnet;;;31770.0;Colomiers;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
ESCALADE;ASSOCIATION PYRENEES CLUB;W313004198;31AS105;;www.pyrenees-club.asso.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
ESCALADE;PYRENE;W313003288;31AS1319;31055.0;www.ffme.fr/club/structure.php?id=228;;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.601483, 1.467433
Raquette à neige;CLUB ALPIN FRANCAIS DE TOULOUSE;;;3100.0;caftoulouse.free.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
BOXE THAILANDAISE / MUAY THAI;THAI BOXING CLUB;326285.0;03102ET0220;300133.0;www.tbctoulouse.com;;Sauzelong - Rangueil;ENSEMBLE RANGUEIL;COSEC RANGUEIL;27;Chemin du Canal;31400.0;TOULOUSE;Appt 14;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;43.572931, 1.463274
AQUAGYM;TAC - Toulouse Athlétic Club;;;240310335.0;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.633748, 1.44783
AQUAGYM;TOAC NATATION;;8849.0;240310052.0;www.toacnatation.org;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
NATATION;LES DAUPHINS DU TOEC;;;2131389.0;www.lesdauphinsdutoec.com;Complexe Sportif Léo Lagrange;Ramier;PARC DES SPORTS;PISCINE NAKACHE;7;Allée Gabriel Biénès;31400.0;TOULOUSE;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.60593, 1.453138
NATATION;LES DAUPHINS DU TOEC;;;2131389.0;www.lesdauphinsdutoec.com;Complexe Sportif Léo Lagrange;Ramier;PARC DES SPORTS;PISCINE SPORTIVE CASTEX;7;Allée Gabriel Biénès;31400.0;TOULOUSE;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.60593, 1.453138
NATATION SYNCHRONISEE;TOULOUSE NAT SYNCHRO;W313004565;31AS286;2400314133.0;www.toulouse-natsynchro.fr;Complexe Sportif Léo Lagrange;Saint Michel;ENSEMBLE BERTHELOT CALAS;PISCINE ROGER PRADIE;46;Rue des Saules;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.607986, 1.438383
OMNISPORT;FOYER ETIENNE BILLIERES;;;;perso.orange.fr/fep.etiennebillieres;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
pelote basque;STADE TOULOUSAIN PELOTE;;;676.0;;;Ramier;PARC DES SPORTS;PELOTE BASQUE PARC DES SPORTS;3;Allée Gabriel Biénès;31400.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.583959, 1.436448
pelote basque;TAC section PELOTE BASQUE;;;;;;Juncasse - Argoulets;LES ARGOULETS;PELOTE BASQUE ARGOULETS;54;Rue Dinetard;31500.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.577522, 1.455107
pelote basque;TAC section PELOTE BASQUE;;;;;;Ramier;PARC DES SPORTS;PELOTE BASQUE PARC DES SPORTS;3;Allée Gabriel Biénès;31400.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.583959, 1.436448
pétanque;AMICALE SPORTIVE DES RAMIERS;;;85237.0;augusteriff@gmail.fr;Maison de Quartier;La Fourguette;Nouveau Complexe Municipal;Centre de loisirs Gironis;35;Rue de Gironis;;TOULOUSE;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.564802, 1.414267
pétanque;BOULE IZARDS CLUB;;;116.0;;;Les Izards;ENSEMBLE LAZARET DE LALANDE;BOULODROME COUVERT DES IZARDS;13;Rue des Chamois;31200.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.638693, 1.443171
pétanque;BOULING CLUB SPORTIF DE ROGUET;;;114.0;joseroguet@orange.fr;;Patte d'Oie;Boulodrome Roguet;Boulodrome Roguet;;Rue de Gascogne;31300.0;Toulouse;;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;43.596346, 1.427446
pétanque;CLUB BOULISTE LE TRACASSIN;;;123.0;;;Amidonniers;CLUB BOULISTE DES AMIDONNIERS;BOULODROME TRACASSIN RUE DES AMIDONNIERS;119;Rue des Amidonniers;31000.0;TOULOUSE;;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Non;43.606332, 1.422301
pétanque;LA BOULE D'OR;;;;;;Reynerie;PLACE EDOUARD BOUILLERE;BOULODROME PL BOUILLERE;;Place Edouard Bouillière;31100.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.565011, 1.479437
pétanque;PETANQUE CLUB AMOUROUX;W313005032;31AS1409;141.0;www.petanque-club-amouroux.org;;Roseraie;DEPOT THEATRE AMOUROUX;BOULODROME AMOUROUX;12;Rue d' Arles;31500.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;43.627891, 1.467599
pétanque;PETANQUE CLUB FONQUERNE;;;;www.bou.maurice89.fr;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
pétanque;PETANQUE CLUB GRAND ROND;w313004030;3199.0;503657884.0;;;Le Busca;Nouveau Complexe Municipal;Boulodrome Grand Rond;;Allées Frédéric Mistral;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;
pétanque;PETANQUE CLUB LE COCHONNET;;;131.0;;PETANQUE CLUB LE COCHONET;Minimes;ENSEMBLE MARCHE AUX COCHONS;BOULODROME LE COCHONNET;;Place du Marché Aux Cochons;31200.0;TOULOUSE;Mairie annexe des MINIMES;Non;Non;Oui;Oui;Non;Oui;Oui;Non;Non;43.620507, 1.435095
pétanque;PETANQUE PONT DES DEMOISELLES;323575.0;31AS756;160.0;;;Pont des Demoiselles;BATIMENTS SUR DOMAINE PUBLIC;BOULODROME PONT DES DEMOISELLES;;Place Roger Arnaud;31400.0;TOULOUSE;;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;43.58706, 1.463603
pétanque;PETANQUE SAINT AUBIN;;;310049118.0;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.604268, 1.441019
pétanque;ROWING NOUVEAU;;;;;Ramier du Château;Ramier;COMPLEXE PRIVÉ;Rowing Nouveau;;Allée Alfred Mayssonnie;31400.0;Toulouse;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.590233, 1.436469
randonnée Pédestre;ASSOCIATION PYRENEES CLUB;W313004198;31AS105;2287.0;www.pyrenees-club.asso.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
randonnée Pédestre;SENTIER ET AMITIE;W313004812;;3507.0;sentier.amitie.free.fr;;Pont des Demoiselles;STADE PHILIPPE STRUXIANO;STADE PHILIPPE STRUXIANO;114;Avenue de Lespinet;31400.0;TOULOUSE;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.52279, 1.317217
retraite sportive;ASTIG - Association Sportive Toulouse Inter Générations;;;;;;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Oui;Non;Non;
retraite sportive;ASTORS - Association Toulousaine de la Retraite Sportive;;;;;;Ginestous;ZONE RECREATIVE DE SESQUIERES;TENNIS SESQUIERES;22;Chemin du Pont de Rupe;31200.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.655982, 1.416316
retraite sportive;ASTORS - Association Toulousaine de la Retraite Sportive;;;;;;Juncasse - Argoulets;LES ARGOULETS;MAISON DU JUDO ARGOULETS;54;Rue Dinetard;31500.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.64429, 1.446693
retraite sportive;ASTORS - Association Toulousaine de la Retraite Sportive;;;;;;Lalande;Nouveau Complexe Municipal;Centre d'animation Lalande;239;Avenue de Fronton;31200.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.645455, 1.4332
rugby à XIII;TOULOUSE JULES JULIEN BRONCOS XIII;3/24251;31AS678;31028.0;ustjj13@free.fr;;Pont des Demoiselles;STADE PHILIPPE STRUXIANO;STADE PHILIPPE STRUXIANO;114;Avenue de Lespinet;31400.0;TOULOUSE;STADE STRUXIANO;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.580005, 1.46692
rugby à XIII;TOULOUSE OLYMPIQUE XIII;;;31009.0;www.to13.com;;Minimes;STADE DES MINIMES;STADE ARNAUNE;105;Avenue Frédéric Estèbe;31200.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;43.621562, 1.436936
